ye,ma,loc,brand,model,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,eurpr
85,Belgium,Italy,alfa romeo,33,compact,0,AlfaRomeo,1771,1351,58,890,5,5,401.5,161,130.5,5.800000190734863,7.900000095367432,NA,7.766666889190674,165,11.5,6126.14697265625
85,Belgium,Italy,alfa romeo,90,standard,0,AlfaRomeo,421,1962,94,1080,5,4,439,164,142,6.5,8.800000190734863,12.199999809265137,NA,190,NA,10052.5654296875
85,Belgium,Italy,alfa romeo,GTV,standard,0,AlfaRomeo,159,1962,96,1140,4,3,438.5,164,143,6.599999904632568,8.899999618530273,NA,9.366666793823242,185,NA,10623.1796875
85,Belgium,Italy,alfa romeo,giulletta,intermediate,0,AlfaRomeo,266,1570,80,1070,5,4,421,165,140,6.800000190734863,9.100000381469727,11.899999618530273,NA,175,NA,7821.01904296875
85,Belgium,Germany,audi,80/90,intermediate,0,VW,8813,1296,44,930,5,4,438.5,168,136.5,5.099999904632568,NA,8.199999809265137,6.733333110809326,150,15.5,6191.9052734375
85,Belgium,Germany,audi,100/200,standard,0,VW,5776,1780,55,1080,5,4,479.5,181.5,142,5.699999809265137,NA,9.800000190734863,7.5333333015441895,165,14.899999618530273,9870.138671875
85,Belgium,Germany,BMW,3,standard,0,BMW,6212,1766,66,990,5,2,432.5,164.5,138,6.300000190734863,NA,9.800000190734863,8.166666984558105,175,12.399999618530273,7551.62158203125
85,Belgium,Germany,BMW,5,luxury,0,BMW,2838,1766,77,1140,5,4,462,170,141.5,6.800000190734863,9,10.399999618530273,NA,164,14,9333.46484375
85,Belgium,France,citroen,2CV6,subcompact,0,Peugeot,5054,602,21,585,4,5,383,148,160,NA,6.099999904632568,6.800000190734863,6.099999904632568,115,33.5,2482.70166015625
85,Belgium,France,citroen,BX,intermediate,0,Peugeot,9022,1360,45,885,5,5,423,166,136,NA,7.5,7.699999809265137,6.933333396911621,155,15.600000381469727,5671.3525390625
85,Belgium,France,citroen,CX,standard,0,Peugeot,2068,1995,77,1235,5,4,466,177,136,7.900000095367432,NA,12,9.866666793823242,176,12.100000381469727,8607.1513671875
85,Belgium,France,citroen,visa,subcompact,0,Peugeot,6504,652,25,755,4.5,5,369,151,141,5.199999809265137,NA,6.5,5.833333492279053,125,26.200000762939453,3545.01953125
85,Belgium,France,citroen,LNA,subcompact,0,Peugeot,354,1124,36,710,4,3,343,154,138,4.699999809265137,NA,5.800000190734863,5.599999904632568,140,15.600000381469727,3485.624755859375
85,Belgium,France,citroen,GSA,intermediate,0,Peugeot,508,1299,47,920,5,5,418,163,135,NA,8.199999809265137,8.5,7.666666507720947,155,13.800000190734863,5006.130859375
