ye,ma,loc,brand,model,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,eurpr
80,Belgium,Italy,alfa romeo,GTV,standard,0,AlfaRomeo,762,1962,90,1140,4,3,438.5,164,143,6.900000095367432,NA,13.399999618530273,9.966667175292969,185,NA,10593.2333984375
80,Belgium,Italy,alfa romeo,giulletta,intermediate,0,AlfaRomeo,1085,1357,70,1070,5,4,421,165,140,7.300000190734863,9.5,NA,9,165,NA,7713.58251953125
80,Belgium,Italy,alfa romeo,sud,compact,0,AlfaRomeo,1532,1186,46,860,5,3,399.5,159,137,6.599999904632568,9,10.300000190734863,NA,150,13.600000381469727,4892.17138671875
80,Belgium,Italy,alfa romeo,6,luxury,0,AlfaRomeo,82,2492,118,1430,5,4,476,168.5,139.5,NA,11.300000190734863,17.899999618530273,12.733333587646484,195,NA,14323.837890625
80,Belgium,Germany,audi,80/90,intermediate,0,VW,5143,1297,44,890,5,4,438.5,168,136.5,NA,9.399999618530273,9.899999618530273,8.766666412353516,145,17.5,6810.8603515625
80,Belgium,Germany,audi,100/200,standard,0,VW,5181,1588,63,1110,5,4,468.5,177,139,NA,9.199999809265137,12.600000381469727,9.600000381469727,160,13.399999618530273,8318.6328125
80,Belgium,Germany,BMW,3,standard,0,BMW,7133,1573,66,1020,5,2,435.5,161,138,NA,10.100000381469727,11.100000381469727,9.533333778381348,160,13.800000190734863,7412.6748046875
80,Belgium,Germany,BMW,5,luxury,0,BMW,3546,1766,66,1240,5,4,462,169,142.5,7.800000190734863,10.600000381469727,NA,10.333333969116211,160,14.800000190734863,8878.384765625
80,Belgium,France,citroen,2CV6,subcompact,0,Peugeot,5202,602,21.5,560,4,5,383,148,160,6,6.400000095367432,6.900000095367432,NA,110,NA,2669.339599609375
80,Belgium,France,citroen,CX,standard,0,Peugeot,4664,1995,77,1230,5,4,467,175,136,NA,9.699999809265137,12,9.866666793823242,176,12.100000381469727,8378.490234375
80,Belgium,France,citroen,visa,subcompact,0,Peugeot,4837,652,25.5,735,4.5,5,369,151,141,NA,6.699999809265137,7.699999809265137,6.733333110809326,124,26.200000762939453,4041.21826171875
80,Belgium,France,citroen,LNA,subcompact,0,Peugeot,783,652,25.5,710,4,3,340,152,138,NA,6.400000095367432,7.199999809265137,6.433333396911621,125,23.799999237060547,3866.497802734375
80,Belgium,France,citroen,dyane,subcompact,0,Peugeot,3294,602,24,600,4,5,387,150,154,5.699999809265137,6.400000095367432,7.199999809265137,NA,120,NA,3331.01220703125
80,Belgium,France,citroen,G special,intermediate,0,Peugeot,6794,1129,41,925,5,4,412,161,135,6.400000095367432,8.399999618530273,NA,7.8333330154418945,149,17.5,4918.0556640625
80,Belgium,Japan,daihatsu,domino,subcompact,0,Toyota,100,547,19,545,4,3,316,139.5,132,NA,5.5,7,5.5,110,NA,3072.167236328125
80,Belgium,Japan,daihatsu,charade,subcompact,0,Toyota,1690,993,37,630,4.5,3,346,151,136,6,8,10,NA,140,NA,3719.27978515625
80,Belgium,Japan,daihatsu,charmant,compact,0,Toyota,107,1407,45,870,5,4,411,152,137,NA,11,13,11,160,NA,4204.6142578125
80,Belgium,Italy,fiat,126,subcompact,0,Fiat,855,652,17.5,600,4,2,305.5,137.5,133.5,6.099999904632568,6.699999809265137,7.300000190734863,NA,105,50,2659.6328125
80,Belgium,Italy,fiat,ritmo,compact,0,Fiat,7761,1116,44,860,5,3,394,165,140,NA,9.399999618530273,9.5,8.666666030883789,145,17.100000381469727,4526.552734375
80,Belgium,Italy,fiat,127,subcompact,0,Fiat,3770,903,33,705,5,3,371,153.5,137,5.800000190734863,NA,8.399999618530273,7.366666793823242,135,19.100000381469727,3717.661865234375
80,Belgium,Italy,fiat,argenta,intermediate,0,Fiat,2763,1995,82,1140,5,4,439,164,143.5,NA,10.699999809265137,13.899999618530273,11,170,11,6597.31298828125
80,Belgium,Italy,fiat,131F,compact,0,Fiat,3878,1297,48,1015,5,5,426.5,165,138,6.800000190734863,9.300000190734863,9.899999618530273,NA,150,16.200000762939453,5335.443359375
80,Belgium,Italy,fiat,128,subcompact,0,Fiat,384,1116,40,785,5,2,384,159,142,6.300000190734863,8.800000190734863,NA,8.100000381469727,140,17.5,4526.552734375
80,Belgium,Germany,ford,fiesta,subcompact,0,Ford,6936,957,29.5,715,5,3,365,156.5,136,5.599999904632568,8.199999809265137,NA,7.233333110809326,131,19.700000762939453,4125.3427734375
80,Belgium,Germany,ford,escort,compact,0,Ford,8654,1097,37,875,5,3,398,159.5,138.5,6.900000095367432,11,NA,9.199999809265137,130,23.700000762939453,4028.276123046875
80,Belgium,Germany,ford,granada,standard,0,Ford,4860,1699,54,1185,5,4,463.5,179,142,7.900000095367432,10.199999809265137,NA,9.866666793823242,149,17.200000762939453,6772.03369140625
80,Belgium,Belgium,ford,taunus,intermediate,0,Ford,9744,1294,46,965,5,2,434,170,136,8.800000190734863,NA,11.300000190734863,10.033333778381348,142,17.700000762939453,5364.5634765625
80,Belgium,Japan,honda,civic,compact,0,Honda,9432,1335,44,720,4.5,3,376,158,133.5,5.5,7.699999809265137,NA,7.5,150,NA,3814.728759765625
80,Belgium,Japan,honda,accord,standard,0,Honda,4926,1602,59,895,5,4,432.5,162,136,7.099999904632568,NA,9.800000190734863,8.800000190734863,147,NA,5710.76904296875
80,Belgium,Korea,hyundai,pony,compact,0,Hyundai,1343,1238,40.5,870,5,3,397,157.5,136,NA,10,12,10,155,NA,3714.426513671875
80,Belgium,Italy,innocenti,90,subcompact,0,DeTomaso,970,998,36,720,5,3,312,150,138,6,9.100000381469727,NA,7.833333492279053,136,16.399999618530273,4202.99658203125
80,Belgium,Italy,lancia,delta,compact,0,Fiat,526,1301,55,955,5,5,388.5,162,138,6.900000095367432,NA,10.199999809265137,8.733333587646484,155,15,6467.890625
80,Belgium,Italy,lancia,a112,subcompact,0,Fiat,852,903,31,655,5,3,327,148,136,5.900000095367432,7.599999904632568,8.699999809265137,NA,135,16,4170.640625
