ye,ma,loc,brand,model,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,eurpr
72,Belgium,Germany,audi,100/200,standard,0,VW,2231,1760,62.5,1050,5,4,459,173,142,NA,8.899999618530273,8.899999618530273,8.899999618530273,160,13.5,3448.114501953125
72,Belgium,France,citroen,2CV6,subcompact,0,Fiat,5944,435,17.5,560,4,5,383,148,160,5.400000095367432,5.400000095367432,5.400000095367432,NA,102,33.5,1382.6468505859375
72,Belgium,France,citroen,GSA,intermediate,0,Fiat,4638,1015,41,880,5,4,412,161,135,9.300000190734863,9.300000190734863,9.300000190734863,NA,147,16.200000762939453,2430.423583984375
72,Belgium,France,citroen,dyane,subcompact,0,Fiat,6893,435,17.5,590,4,5,387,150,154,5.400000095367432,5.400000095367432,5.400000095367432,NA,104,NA,1487.293701171875
72,Belgium,Italy,fiat,127,subcompact,0,Fiat,8058,903,34.5,705,5,2,359.5,152.5,136,7.199999809265137,NA,7.199999809265137,7.199999809265137,140,18.5,1828.7041015625
72,Belgium,Italy,fiat,128,subcompact,0,Fiat,9642,1116,40.5,785,5,2,385.5,159,142,8,8,NA,8,140,19.100000381469727,2037.9979248046875
72,Belgium,Germany,ford,escort,compact,0,Ford,10021,1098,35.5,805,5,2,398,157,140.5,8.300000190734863,8.300000190734863,8.300000190734863,NA,126,26.700000762939453,1844.401123046875
72,Belgium,Germany,ford,granada,standard,0,Ford,2188,2551,92,1235,5,2,457,179,137,10.699999809265137,10.699999809265137,10.699999809265137,NA,164,13,3912.485107421875
72,Belgium,Belgium,ford,taunus,intermediate,0,Ford,18590,1294,43.5,950,5,2,427,170,137,9,NA,9,9,138,20.700000762939453,2341.473876953125
72,Belgium,Italy,lancia,a112,subcompact,0,Fiat,1568,903,32.5,670,4,2,323,148,134,7.199999809265137,7.199999809265137,7.199999809265137,NA,135,18,1934.6590576171875
72,Belgium,Germany,mercedes,200,luxury,0,Mercedes,6809,1988,70,1330,5,4,468.5,177,144,9,11.5,NA,11.5,160,15.199999809265137,4643.705078125
72,Belgium,Germany,opel,kadet,compact,0,GeneralMotors,7899,1078,37,750,5,2,410.5,157.5,140,7.900000095367432,NA,7.900000095367432,7.900000095367432,130,21.5,1841.7850341796875
72,Belgium,Germany,opel,ascona,intermediate,0,GeneralMotors,10345,1196,44,845,5,2,412.5,162.5,138.5,NA,8.300000190734863,8.300000190734863,8.300000190734863,137,19,2312.696044921875
72,Belgium,Germany,opel,record,standard,0,GeneralMotors,9707,1696,48.5,1065,5,2,456.5,172,140.5,9.800000190734863,9.800000190734863,9.800000190734863,NA,143,20,2796.687744140625
72,Belgium,Germany,opel,commodor,standard,0,GeneralMotors,1398,2490,84.5,1200,5,4,460.5,173,141.5,10,NA,16,13,175,13,4002.742919921875
72,Belgium,France,peugeot,504,standard,0,Peugeot,8147,1971,64,1230,6,4,449,169,146,11.899999618530273,11.899999618530273,11.899999618530273,NA,162,NA,3466.427734375
72,Belgium,France,peugeot,304,compact,0,Peugeot,3387,1288,43,915,5,4,414,157,141,NA,10.100000381469727,10.100000381469727,10.100000381469727,150,15.600000381469727,2796.687744140625
72,Belgium,France,renault,4,subcompact,0,Renault,8502,845,20,635,4,5,367,148.5,155,5.5,6,6,NA,110,NA,1462.4400634765625
72,Belgium,France,renault,16,compact,0,Renault,6097,1585,49.5,1010,6,5,423.5,165,145,NA,10,11.5,10,150,NA,2639.717529296875
72,Belgium,France,renault,6,subcompact,0,Renault,6606,845,25,750,4,5,385,154,150,7,7,NA,7,120,NA,1896.724609375
72,Belgium,France,renault,12,subcompact,0,Renault,6744,1289,39.5,880,5,4,434,163.5,143.5,NA,8.25,8.25,8.25,140,17,2351.9384765625
72,Belgium,UK,rover,mini,subcompact,0,Rover,5534,848,23.5,615,4,2,305,141,135,7.5,7.5,7.5,NA,116,34,1567.0869140625
72,Belgium,Sweden,saab,99,standard,0,Saab,580,1698,59,1120,5,2,448,169,144,7,9.699999809265137,11.600000381469727,NA,160,14.5,3497.82177734375
72,Belgium,Japan,toyota,corolla,compact,0,Toyota,22798,1168,53.5,730,4,2,394.5,150.5,137.5,8.100000381469727,8.100000381469727,8.100000381469727,NA,145,NA,2090.3212890625
72,Belgium,Germany,VW,kaefer,subcompact,0,VW,17209,1192,25,760,4,2,407,155,150,7.5,7.5,NA,7.5,115,37,1721.4410400390625
72,Belgium,France,talbot,simca,subcompact,0,TalbotSimcaHillmanSunbeam,8127,1118,44,910,4,3,392,159,146,8.5,8.5,NA,8.5,146,NA,1985.6744384765625
72,Belgium,France,talbot,180,intermediate,0,TalbotSimcaHillmanSunbeam,4498,1639,59,1065,5,4,445.5,173,143,10,NA,13,11.5,156,NA,2770.526123046875
72,Belgium,Italy,alfa romeo,2000,intermediate,0,AlfaRomeo,993,1962,95.5,1110,5,4,439,156.5,143,12.100000381469727,NA,12.100000381469727,12.100000381469727,190,NA,4446.18408203125
72,Belgium,Italy,alfa romeo,giulia,compact,0,AlfaRomeo,998,1290,66,1010,5,4,416,156,143,NA,12.399999618530273,14.5,12.399999618530273,160,13.399999618530273,3007.28955078125
72,Belgium,Germany,audi,1200,compact,0,VW,555,1177,40.5,710,5,2,400,150,139,NA,8,8.5,7.833333492279053,144,14.5,2192.35205078125
72,Belgium,Germany,audi,60-75,intermediate,0,VW,1734,1496,48,945,5,2,438,163,145,8.699999809265137,8.699999809265137,NA,8.699999809265137,138,18,2597.858642578125
72,Belgium,Germany,audi,prinz1000,subcompact,0,VW,615,996,29.5,660,5,2,379,149,136,7,NA,8.5,7.833333492279053,130,20,1915.037841796875
72,Belgium,Germany,audi,prinz4,subcompact,0,VW,466,599,22,555,5,2,344,149,136,NA,6,6.5,6,120,31,1595.8648681640625
72,Belgium,Germany,audi,ro 80,standard,0,VW,149,994,84.5,1280,5,4,478,176,141,11.199999809265137,11.199999809265137,11.199999809265137,NA,180,14.199999809265137,5760.810546875
72,Belgium,Germany,BMW,1502,compact,0,BMW,3079,1573,62.5,930,5,2,423,159,141,9.899999618530273,9.899999618530273,9.899999618530273,NA,160,13.300000190734863,3267.5986328125
72,Belgium,Germany,BMW,1800,intermediate,0,BMW,746,1990,73.5,1100,5,4,450,171,144.5,10.5,10.5,NA,10.5,160,13,3503.05419921875
72,Belgium,Germany,BMW,2002,standard,0,BMW,2365,1990,73.5,990,5,2,423,159,141,10,NA,10,10,170,10.899999618530273,3565.84228515625
72,Belgium,Germany,BMW,2500,luxury,0,BMW,682,2494,110.5,1340,5,4,470,175,145,10.899999618530273,10.899999618530273,NA,10.899999618530273,190,10.399999618530273,5844.52783203125
72,Belgium,France,citroen,ami,subcompact,0,Fiat,2174,602,23.5,725,4,4,399,152.5,148.5,NA,6.400000095367432,6.400000095367432,6.400000095367432,123,NA,1882.335693359375
72,Belgium,France,citroen,d-ds 20,standard,0,Fiat,3786,1985,73,1280,5,4,487.5,180.5,147,10.399999618530273,NA,10.399999618530273,10.399999618530273,163,NA,3380.093994140625
72,Belgium,France,citroen,ds 21-23,standard,0,Fiat,926,2347,84.5,1310,5,4,487.5,180.5,147,11.300000190734863,11.300000190734863,NA,11.300000190734863,178,NA,4826.8369140625
72,Belgium,Netherlands,daf,44-46,subcompact,0,DAF,8014,844,25,740,5,2,385,154,138,7,7.5,8,NA,123,15,1907.1893310546875
72,Belgium,Italy,fiat,124,intermediate,0,Fiat,1616,1197,44,900,5,4,404.5,162.5,142,9.300000190734863,NA,9.300000190734863,9.300000190734863,140,19.600000381469727,2351.9384765625
72,Belgium,Italy,fiat,124 S,intermediate,0,Fiat,2896,1438,51.5,925,5,4,406,161,142,NA,10.5,12,10.5,150,16.700000762939453,2605.707275390625
72,Belgium,Italy,fiat,125,compact,0,Fiat,671,1608,73.5,1030,5,4,422,161,144,NA,9.899999618530273,9.899999618530273,9.899999618530273,160,14.800000190734863,3267.5986328125
72,Belgium,Italy,fiat,130,luxury,0,Fiat,65,3235,121.5,1570,5,4,475,180.5,147,15.199999809265137,15.199999809265137,NA,15.199999809265137,190,NA,6854.3701171875
72,Belgium,Italy,fiat,500/600,subcompact,0,Fiat,1091,499,13,520,4,2,297,132,132.5,5.300000190734863,5.300000190734863,5.300000190734863,NA,95,NA,1187.7420654296875
72,Belgium,Italy,fiat,850,subcompact,0,Fiat,202,843,25,735,2,2,382.5,150,122,7.099999904632568,7.099999904632568,NA,7.099999904632568,150,18.899999618530273,1559.2384033203125
72,Belgium,Germany,ford,12-15M,intermediate,0,Ford,1573,1498,44,1050,5,2,472,176,148,9.5,NA,9.5,9.5,135,19.100000381469727,2525.913818359375
72,Belgium,Germany,ford,20-26M,standard,0,Ford,780,1998,66,1095,5,2,471,175.5,148,NA,9.199999809265137,9.199999809265137,9.199999809265137,160,14.199999809265137,3317.305908203125
72,Belgium,Germany,ford,consul,standard,0,Ford,4941,1699,55,1155,5,2,457,179,137,10.5,NA,10.5,10.5,145,18.600000381469727,2953.657958984375
72,Belgium,Japan,honda,N600,subcompact,0,Honda,539,598,28,535,4,2,299.5,129.5,134,5.699999809265137,NA,6.300000190734863,6,130,NA,1493.8341064453125
72,Belgium,Italy,lancia,2000,standard,0,Fiat,85,1991,84.5,1235,5,4,462,161,146,NA,12.5,15,12.5,175,12,5363.15234375
72,Belgium,Italy,lancia,a111,compact,0,Fiat,388,1438,51.5,930,4,4,396,161,143,NA,8.5,8.5,8.5,155,13,2610.939453125
72,Belgium,Italy,lancia,fulvia,compact,0,Fiat,244,1298,62.5,1060,5,2,415.5,155.5,140,8.800000190734863,8.800000190734863,8.800000190734863,NA,160,15.5,3374.86181640625
72,Belgium,Japan,mazda,1000,subcompact,0,Mazda,2726,985,43.5,770,5,4,379.5,148,139,8,NA,8,8,135,NA,1909.5438232421875
72,Belgium,Germany,mercedes,350,luxury,0,Mercedes,268,3499,147,1545,2,2,438,179,130,13,13,13,NA,210,8.800000190734863,11171.0537109375
72,Belgium,Japan,nissan,1200,subcompact,0,Nissan,7294,1171,48,700,5,4,383,149.5,139,NA,9.5,11,9.5,145,NA,2132.18017578125
72,Belgium,Germany,opel,admiral,luxury,0,GeneralMotors,247,2784,97,1475,6,4,490,183.5,144.5,13.399999618530273,13.399999618530273,13.399999618530273,NA,175,NA,5088.4541015625
72,Belgium,UK,opel,viva,compact,0,GeneralMotors,3823,1256,39,800,5,2,413.5,164.5,135,8,9,NA,9,129,22.5,1985.6744384765625
72,Belgium,France,peugeot,204,subcompact,0,Peugeot,4968,1130,35.5,880,5,4,399,156,140,9,9,9,NA,140,NA,2508.908935546875
72,Belgium,France,peugeot,404,intermediate,0,Peugeot,3271,1618,45.5,1070,5,4,455,162,145,10.800000190734863,10.800000190734863,NA,10.800000190734863,148,NA,2985.052001953125
72,Belgium,France,renault,15,compact,0,Renault,1834,1289,44,965,4,2,426,163,131,9,NA,12,10.5,150,NA,3132.86572265625
72,Belgium,UK,rover,1100,subcompact,0,Rover,1265,1098,32.5,808,5,2,372,153,135,NA,7.400000095367432,7.400000095367432,7.400000095367432,125,21.799999237060547,2053.69482421875
72,Belgium,UK,rover,3500,standard,0,Rover,327,3528,108,1634,5,4,474,178,154,15.5,15.5,NA,15.5,185,12.100000381469727,5493.9609375
72,Belgium,UK,rover,2000,standard,0,Rover,285,1998,67.5,1220,5,4,463,165,142,9.5,11,NA,11,161,14.600000381469727,3790.8330078125
72,Belgium,UK,rover,toledo,subcompact,0,Rover,485,1493,51.5,905,4,4,397,157,137,9.5,10.5,11.5,NA,145,15,2613.5556640625
72,Belgium,France,tal/simca,1000,subcompact,0,TalbotSimcaHillmanSunbeam,6225,944,32.5,775,4,4,380,148.5,139.5,7,7,7,NA,133,23.700000762939453,1619.410400390625
72,Belgium,France,tal/simca,1301,compact,0,TalbotSimcaHillmanSunbeam,4996,1290,51.5,1010,5,4,446,158,140,NA,14.399999618530273,14.399999618530273,14.399999618530273,150,NA,2456.58544921875
72,Belgium,France,tal/matra,bagheera,standard,0,TalbotMatra,117,1699,57.5,935,2,2,420,162,120,9,9,NA,9,175,NA,3633.86279296875
